DATETIME,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT,PRICE,FORWARD,CARRY
1989-11-20 00:00:00,199003,199006,199006,100.9375,,
1989-11-21 00:00:00,199003,199006,199006,101.015625,,
1989-11-22 00:00:00,199003,199006,199006,101.28125,,
1989-11-24 00:00:00,199003,199006,199006,101.390625,,
1989-11-27 00:00:00,199003,199006,199006,101.015625,,
1989-11-28 00:00:00,199003,199006,199006,100.953125,,
1989-11-29 00:00:00,199003,199006,199006,100.828125,100.828125,100.828125
1989-11-30 00:00:00,199003,199006,199006,101.03125,101.03125,101.03125
1989-12-01 00:00:00,199003,199006,199006,101.171875,101.171875,101.171875
1989-12-04 00:00:00,199003,199006,199006,101.15625,101.15625,101.15625
1989-12-05 00:00:00,199003,199006,199006,101.171875,101.171875,101.171875
1989-12-06 00:00:00,199003,199006,199006,100.953125,100.953125,100.953125
1989-12-07 00:00:00,199003,199006,199006,100.8125,100.8125,100.8125
1989-12-08 00:00:00,199003,199006,199006,101.078125,101.078125,101.078125
1989-12-11 00:00:00,199003,199006,199006,101.0,101.0,101.0
1989-12-12 00:00:00,199003,199006,199006,101.0,101.0,101.0
1989-12-13 00:00:00,199003,199006,199006,101.0625,101.0625,101.0625
1989-12-14 00:00:00,199003,199006,199006,101.265625,101.28125,101.28125
1989-12-15 00:00:00,199003,199006,199006,101.25,101.28125,101.28125
1989-12-18 00:00:00,199003,199006,199006,101.421875,101.453125,101.453125
1989-12-19 00:00:00,199003,199006,199006,101.265625,101.3125,101.3125
1989-12-20 00:00:00,199003,199006,199006,101.34375,101.390625,101.390625
1989-12-21 00:00:00,199003,199006,199006,101.296875,101.328125,101.328125
1989-12-22 00:00:00,199003,199006,199006,100.953125,100.984375,100.984375
1989-12-26 00:00:00,199003,199006,199006,100.34375,100.390625,100.390625
1989-12-27 00:00:00,199003,199006,199006,100.40625,100.4375,100.4375
1989-12-28 00:00:00,199003,199006,199006,100.578125,100.609375,100.609375
1989-12-29 00:00:00,199003,199006,199006,100.5625,100.59375,100.59375
1990-01-02 00:00:00,199003,199006,199006,100.484375,100.515625,100.515625
1990-01-03 00:00:00,199003,199006,199006,100.28125,100.3125,100.3125
1990-01-04 00:00:00,199003,199006,199006,100.3125,100.34375,100.34375
1990-01-05 00:00:00,199003,199006,199006,100.296875,100.296875,100.296875
1990-01-08 00:00:00,199003,199006,199006,100.25,100.25,100.25
1990-01-09 00:00:00,199003,199006,199006,100.203125,100.203125,100.203125
1990-01-10 00:00:00,199003,199006,199006,100.171875,100.171875,100.171875
1990-01-11 00:00:00,199003,199006,199006,100.15625,100.1875,100.1875
1990-01-12 00:00:00,199003,199006,199006,100.015625,100.03125,100.03125
1990-01-15 00:00:00,199003,199006,199006,99.78125,99.796875,99.796875
1990-01-16 00:00:00,199003,199006,199006,99.484375,99.515625,99.515625
